checking_status,duration_months,credit_history,purpose,credit_amount,savings_status,employment,installment_rate,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,num_existing_credits,job,num_dependents,own_telephone,foreign_worker,credit_risk,credit_risk_label,checking_status_eur,savings_status_eur,credit_amount_eur
no checking account,12,existing credits paid duly till now,furniture/equipment,1768,<100 DM,1-4 years,3,male : single,none,2,real estate,24,none,rent,1,unskilled resident,1,none,yes,1,good,no checking account,<87 EUR,1547.24
>=200 DM / salary assignments,10,critical account / other credits,car (new),781,<100 DM,>=7 years,4,male : single,none,4,unknown / no property,63,none,for free,2,skilled employee / official,1,"yes, registered under customer name",yes,1,good,>=175 EUR / salary assignments,<87 EUR,683.48
0-200 DM,18,existing credits paid duly till now,furniture/equipment,1924,unknown / no savings account,<1 year,4,female : divorced/separated/married,none,3,real estate,27,none,rent,1,skilled employee / official,1,none,yes,2,bad,0-175 EUR,unknown / no savings account,1683.77
<0 DM,12,critical account / other credits,car (new),2121,<100 DM,1-4 years,4,male : single,none,2,building society savings / life insurance,30,none,own,2,skilled employee / official,1,none,yes,1,good,<0 EUR,<87 EUR,1856.17
<0 DM,12,existing credits paid duly till now,radio/television,701,<100 DM,1-4 years,4,male : married/widowed,none,2,real estate,40,none,own,1,unskilled resident,1,none,yes,1,good,<0 EUR,<87 EUR,613.47
0-200 DM,12,existing credits paid duly till now,repairs,639,<100 DM,1-4 years,4,male : single,none,2,car or other (not in attribute 6),30,none,own,1,skilled employee / official,1,none,yes,2,bad,0-175 EUR,<87 EUR,559.21
0-200 DM,12,critical account / other credits,car (used),1860,<100 DM,unemployed,4,male : single,none,2,car or other (not in attribute 6),34,none,own,2,management / self-employed / highly qualified,1,"yes, registered under customer name",yes,1,good,0-175 EUR,<87 EUR,1627.76
<0 DM,12,critical account / other credits,car (new),3499,<100 DM,1-4 years,3,female : divorced/separated/married,co-applicant,2,real estate,29,none,own,2,skilled employee / official,1,none,yes,2,bad,<0 EUR,<87 EUR,3062.11
0-200 DM,48,existing credits paid duly till now,car (new),8487,unknown / no savings account,4-7 years,1,female : divorced/separated/married,none,2,car or other (not in attribute 6),24,none,own,1,skilled employee / official,1,none,yes,1,good,0-175 EUR,unknown / no savings account,7427.3
<0 DM,36,delay in paying off in the past,education,6887,<100 DM,1-4 years,4,male : single,none,3,building society savings / life insurance,29,stores,own,1,skilled employee / official,1,"yes, registered under customer name",yes,2,bad,<0 EUR,<87 EUR,6027.08
no checking account,15,existing credits paid duly till now,furniture/equipment,2708,<100 DM,<1 year,2,male : single,none,3,building society savings / life insurance,27,bank,own,2,unskilled resident,1,none,yes,1,good,no checking account,<87 EUR,2369.87
no checking account,18,existing credits paid duly till now,furniture/equipment,1984,<100 DM,1-4 years,4,male : single,none,4,unknown / no property,47,bank,for free,2,skilled employee / official,1,none,yes,1,good,no checking account,<87 EUR,1736.27
no checking account,60,existing credits paid duly till now,radio/television,10144,100-500 DM,4-7 years,2,female : divorced/separated/married,none,4,real estate,21,none,own,1,skilled employee / official,1,"yes, registered under customer name",yes,1,good,no checking account,87-437 EUR,8877.4
no checking account,12,critical account / other credits,radio/television,1240,unknown / no savings account,>=7 years,4,female : divorced/separated/married,none,2,real estate,38,none,own,2,skilled employee / official,1,"yes, registered under customer name",yes,1,good,no checking account,unknown / no savings account,1085.17
no checking account,27,delay in paying off in the past,car (used),8613,>=1000 DM,1-4 years,2,male : single,none,2,car or other (not in attribute 6),27,none,own,2,skilled employee / official,1,none,yes,1,good,no checking account,>=875 EUR,7537.56
0-200 DM,12,existing credits paid duly till now,radio/television,766,500-1000 DM,1-4 years,4,male : single,none,3,real estate,66,none,own,1,unskilled resident,1,none,yes,2,bad,0-175 EUR,437-875 EUR,670.36
0-200 DM,15,critical account / other credits,radio/television,2728,unknown / no savings account,4-7 years,4,male : single,guarantor,2,real estate,35,bank,own,3,skilled employee / official,1,"yes, registered under customer name",yes,1,good,0-175 EUR,unknown / no savings account,2387.38
>=200 DM / salary assignments,12,existing credits paid duly till now,radio/television,1881,<100 DM,1-4 years,2,female : divorced/separated/married,none,2,car or other (not in attribute 6),44,none,rent,1,unskilled resident,1,"yes, registered under customer name",yes,1,good,>=175 EUR / salary assignments,<87 EUR,1646.13
>=200 DM / salary assignments,6,existing credits paid duly till now,car (new),709,>=1000 DM,<1 year,2,male : married/widowed,none,2,real estate,27,none,own,1,unemployed / unskilled non-resident,1,none,no,1,good,>=175 EUR / salary assignments,>=875 EUR,620.47
0-200 DM,36,existing credits paid duly till now,radio/television,4795,<100 DM,<1 year,4,female : divorced/separated/married,none,1,unknown / no property,30,none,own,1,management / self-employed / highly qualified,1,"yes, registered under customer name",yes,1,good,0-175 EUR,<87 EUR,4196.29
<0 DM,27,existing credits paid duly till now,radio/television,3416,<100 DM,1-4 years,3,male : single,none,2,car or other (not in attribute 6),27,none,own,1,management / self-employed / highly qualified,1,none,yes,1,good,<0 EUR,<87 EUR,2989.47
<0 DM,18,existing credits paid duly till now,furniture/equipment,2462,<100 DM,1-4 years,2,male : single,none,2,car or other (not in attribute 6),22,none,own,1,skilled employee / official,1,none,yes,2,bad,<0 EUR,<87 EUR,2154.59
no checking account,21,critical account / other credits,furniture/equipment,2288,<100 DM,<1 year,4,female : divorced/separated/married,none,4,building society savings / life insurance,23,none,own,1,skilled employee / official,1,"yes, registered under customer name",yes,1,good,no checking account,<87 EUR,2002.32
0-200 DM,48,all credits at this bank paid duly,business,3566,100-500 DM,4-7 years,4,male : single,none,2,car or other (not in attribute 6),30,none,own,1,skilled employee / official,1,none,yes,1,good,0-175 EUR,87-437 EUR,3120.74
<0 DM,6,critical account / other credits,car (new),860,<100 DM,>=7 years,1,female : divorced/separated/married,none,4,unknown / no property,39,none,own,2,skilled employee / official,1,"yes, registered under customer name",yes,1,good,<0 EUR,<87 EUR,752.62
no checking account,12,critical account / other credits,car (new),682,100-500 DM,4-7 years,4,female : divorced/separated/married,none,3,car or other (not in attribute 6),51,none,own,2,skilled employee / official,1,"yes, registered under customer name",yes,1,good,no checking account,87-437 EUR,596.84
<0 DM,36,critical account / other credits,furniture/equipment,5371,<100 DM,1-4 years,3,male : single,guarantor,2,building society savings / life insurance,28,none,own,2,skilled employee / official,1,none,yes,1,good,<0 EUR,<87 EUR,4700.37
no checking account,18,critical account / other credits,radio/television,1582,>=1000 DM,>=7 years,4,male : single,none,4,car or other (not in attribute 6),46,none,own,2,skilled employee / official,1,none,yes,1,good,no checking account,>=875 EUR,1384.47
no checking account,6,existing credits paid duly till now,radio/television,1346,100-500 DM,>=7 years,2,male : single,none,4,unknown / no property,42,bank,for free,1,skilled employee / official,2,"yes, registered under customer name",yes,1,good,no checking account,87-437 EUR,1177.94
no checking account,10,existing credits paid duly till now,radio/television,1924,<100 DM,1-4 years,1,male : single,none,4,building society savings / life insurance,38,none,own,1,skilled employee / official,1,"yes, registered under customer name",no,1,good,no checking account,<87 EUR,1683.77
>=200 DM / salary assignments,36,existing credits paid duly till now,radio/television,5848,<100 DM,1-4 years,4,male : single,none,1,car or other (not in attribute 6),24,none,own,1,skilled employee / official,1,none,yes,1,good,>=175 EUR / salary assignments,<87 EUR,5117.81
0-200 DM,24,critical account / other credits,car (used),7758,>=1000 DM,>=7 years,2,female : divorced/separated/married,none,4,unknown / no property,29,none,rent,1,skilled employee / official,1,none,yes,1,good,0-175 EUR,>=875 EUR,6789.32
0-200 DM,24,delay in paying off in the past,business,6967,100-500 DM,4-7 years,4,male : single,none,4,car or other (not in attribute 6),36,none,rent,1,management / self-employed / highly qualified,1,"yes, registered under customer name",yes,1,good,0-175 EUR,87-437 EUR,6097.09
<0 DM,12,existing credits paid duly till now,furniture/equipment,1282,<100 DM,1-4 years,2,female : divorced/separated/married,none,4,car or other (not in attribute 6),20,none,rent,1,skilled employee / official,1,none,yes,2,bad,<0 EUR,<87 EUR,1121.93
<0 DM,9,critical account / other credits,repairs,1288,100-500 DM,>=7 years,3,male : single,guarantor,4,real estate,48,none,own,2,skilled employee / official,2,none,no,1,good,<0 EUR,87-437 EUR,1127.18
<0 DM,12,all credits at this bank paid duly,retraining,339,<100 DM,>=7 years,4,male : married/widowed,none,1,car or other (not in attribute 6),45,bank,own,1,unskilled resident,1,none,yes,1,good,<0 EUR,<87 EUR,296.67
0-200 DM,24,existing credits paid duly till now,car (new),3512,100-500 DM,4-7 years,2,male : single,none,3,car or other (not in attribute 6),38,bank,own,2,skilled employee / official,1,"yes, registered under customer name",yes,1,good,0-175 EUR,87-437 EUR,3073.48
no checking account,6,critical account / other credits,radio/television,1898,unknown / no savings account,1-4 years,1,male : single,none,2,real estate,34,none,own,2,unskilled resident,2,none,yes,1,good,no checking account,unknown / no savings account,1661.01
no checking account,24,critical account / other credits,radio/television,2872,100-500 DM,>=7 years,3,male : single,none,4,real estate,36,none,own,1,skilled employee / official,2,"yes, registered under customer name",yes,1,good,no checking account,87-437 EUR,2513.4
no checking account,18,critical account / other credits,car (new),1055,<100 DM,<1 year,4,female : divorced/separated/married,none,1,building society savings / life insurance,30,none,own,2,skilled employee / official,1,none,yes,1,good,no checking account,<87 EUR,923.27
no checking account,15,existing credits paid duly till now,domestic appliances,1262,500-1000 DM,4-7 years,4,male : single,none,3,building society savings / life insurance,36,none,own,2,skilled employee / official,1,"yes, registered under customer name",yes,1,good,no checking account,437-875 EUR,1104.42
0-200 DM,10,existing credits paid duly till now,car (new),7308,<100 DM,unemployed,2,male : single,none,4,unknown / no property,70,bank,for free,1,management / self-employed / highly qualified,1,"yes, registered under customer name",yes,1,good,0-175 EUR,<87 EUR,6395.51
no checking account,36,existing credits paid duly till now,car (new),909,500-1000 DM,>=7 years,4,male : single,none,4,building society savings / life insurance,36,none,own,1,skilled employee / official,1,none,yes,1,good,no checking account,437-875 EUR,795.5
no checking account,6,existing credits paid duly till now,furniture/equipment,2978,500-1000 DM,1-4 years,1,male : single,none,2,car or other (not in attribute 6),32,none,own,1,skilled employee / official,1,"yes, registered under customer name",yes,1,good,no checking account,437-875 EUR,2606.16
<0 DM,18,existing credits paid duly till now,furniture/equipment,1131,<100 DM,unemployed,4,female : divorced/separated/married,none,2,car or other (not in attribute 6),33,none,own,1,skilled employee / official,1,none,yes,2,bad,<0 EUR,<87 EUR,989.78
0-200 DM,11,existing credits paid duly till now,furniture/equipment,1577,>=1000 DM,<1 year,4,female : divorced/separated/married,none,1,real estate,20,none,own,1,skilled employee / official,1,none,yes,1,good,0-175 EUR,>=875 EUR,1380.09
no checking account,24,existing credits paid duly till now,furniture/equipment,3972,<100 DM,4-7 years,2,female : divorced/separated/married,none,4,building society savings / life insurance,25,none,rent,1,skilled employee / official,1,"yes, registered under customer name",yes,1,good,no checking account,<87 EUR,3476.05
0-200 DM,24,critical account / other credits,business,1935,<100 DM,>=7 years,4,male : divorced/separated,none,4,real estate,31,none,own,2,skilled employee / official,1,"yes, registered under customer name",yes,2,bad,0-175 EUR,<87 EUR,1693.39
<0 DM,15,no credits taken / all paid duly,car (new),950,<100 DM,>=7 years,4,male : single,none,3,car or other (not in attribute 6),33,none,rent,2,skilled employee / official,2,none,yes,2,bad,<0 EUR,<87 EUR,831.38
